;FECHA;TEXT;Datestamp;TIME;WeekDay;Demora;Sinterrumpido;Snormal;SdemFG;Slimitado;Linea A;StandTime
353;2018-06-28;#LíneaA - Servicio interrumpido. 19:25;2018-06-28 22:26:03;1900-01-01 22:26:03;Thursday;False;True;False;False;False;True;22:15:00
354;2018-06-24;#LíneaA - Servicio Interrumpido Por obras de renovación de vías. 19:31;2018-06-24 22:32:05;1900-01-01 22:32:05;Sunday;False;False;False;False;False;True;22:30:00
355;2018-06-24;Con motivo del cronograma especial por obras de renovación de vías, hoy la #LíneaA finalizará su servicio a las 19:… https://t.co/b7rR5uCKOY;2018-06-24 14:02:11;1900-01-01 14:02:11;Sunday;False;False;False;False;False;True;14:00:00
356;2018-06-24;#LíneaA - Servicio Limitado PERU y SAN PEDRITO Por obras de renovación de vías. 07:56;2018-06-24 10:56:59;1900-01-01 10:56:59;Sunday;False;False;False;False;False;True;10:30:00
357;2018-06-21;#LíneaA - Ya circula con su frecuencia normal. 09:33;2018-06-21 12:34:21;1900-01-01 12:34:21;Thursday;False;False;True;False;False;True;12:30:00
358;2018-06-21;#LíneaA - Circula con demora. 09:20;2018-06-21 12:21:20;1900-01-01 12:21:20;Thursday;True;False;False;False;False;True;12:15:00
359;2018-06-15;#LíneaA - Ya circula con su frecuencia normal. 18:32;2018-06-15 21:32:32;1900-01-01 21:32:32;Friday;False;False;True;False;False;True;21:30:00
360;2018-06-15;#LíneaA - Servicio con demora. 18:12;2018-06-15 21:12:31;1900-01-01 21:12:31;Friday;True;False;False;False;False;True;21:00:00
361;2018-06-14;#LíneaA - Servicio interrumpido por medida de fuerza gremial. 20:06;2018-06-14 23:07:11;1900-01-01 23:07:11;Thursday;False;True;False;True;False;True;23:00:00
362;2018-06-14;#LíneaA - Los trenes ya se detienen en todas las estaciones. 13:01;2018-06-14 16:02:02;1900-01-01 16:02:02;Thursday;False;False;False;False;False;True;16:00:00
363;2018-06-14;@Arceloreana @subteba @basubte Hola Lori buen día, la #LíneaA no se detiene en estación Congreso por manifestación… https://t.co/RskQARfWyP;2018-06-14 12:51:19;1900-01-01 12:51:19;Thursday;False;False;False;False;False;True;12:30:00
364;2018-06-14;#LíneaA - Los trenes no se detienen en Congreso por un operativo de seguridad en la vía pública. 05:14;2018-06-14 08:14:53;1900-01-01 08:14:53;Thursday;False;False;False;False;False;True;08:00:00
365;2018-06-13;#LíneaA - Los trenes no se detienen en Congreso por un operativo de seguridad en la vía pública. 05:03;2018-06-13 08:03:24;1900-01-01 08:03:24;Wednesday;False;False;False;False;False;True;08:00:00
366;2018-06-08;#LíneaA - Ya circula con su frecuencia normal. 12:35;2018-06-08 15:36:08;1900-01-01 15:36:08;Friday;False;False;True;False;False;True;15:30:00
367;2018-06-08;#LíneaA - Circula con demora. 11:45;2018-06-08 14:46:07;1900-01-01 14:46:07;Friday;True;False;False;False;False;True;14:30:00
368;2018-05-31;#LíneaA - Ya circula con su frecuencia normal. 13:24;2018-05-31 16:24:17;1900-01-01 16:24:17;Thursday;False;False;True;False;False;True;16:15:00
369;2018-05-31;#LíneaA - Circula con demora. 13:18;2018-05-31 16:18:16;1900-01-01 16:18:16;Thursday;True;False;False;False;False;True;16:15:00
370;2018-05-25;#LíneaA - Ya realiza su recorrido completo entre cabeceras. 12:31;2018-05-25 15:31:10;1900-01-01 15:31:10;Friday;False;False;False;False;False;True;15:30:00
371;2018-05-25;#LíneaA - Servicio limitado entre las estaciones Perú y San Pedrito. 07:55;2018-05-25 10:55:07;1900-01-01 10:55:07;Friday;False;False;False;False;True;True;10:30:00
372;2018-05-24;#LíneaA - Los trenes ya se detienen en todas las estaciones. 14:32;2018-05-24 17:32:55;1900-01-01 17:32:55;Thursday;False;False;False;False;False;True;17:30:00
373;2018-05-24;#LíneaA - Los trenes no se detienen en Alberti. 14:13;2018-05-24 17:13:54;1900-01-01 17:13:54;Thursday;False;False;False;False;False;True;17:00:00
374;2018-05-23;@GonTraveler Hola Gonzalo, te contamos que todas las estaciones de la #LíneaA están abiertas y operando.;2018-05-23 21:06:00;1900-01-01 21:06:00;Wednesday;False;False;False;False;False;True;21:00:00
375;2018-05-22;#LíneaA - Servicio interrumpido por medida de fuerza gremial. 12:12;2018-05-22 15:12:50;1900-01-01 15:12:50;Tuesday;False;True;False;True;False;True;15:00:00
376;2018-05-20;#LíneaA - Por obras de mejora: Servicio limitado entre las estaciones Perú y San Pedrito. 07:50;2018-05-20 10:50:06;1900-01-01 10:50:06;Sunday;False;False;False;False;True;True;10:30:00
377;2018-05-18;#LíneaA - Ya circula con su frecuencia normal. 13:46;2018-05-18 16:46:39;1900-01-01 16:46:39;Friday;False;False;True;False;False;True;16:30:00
378;2018-05-18;#LíneaA - Circula con demora. 13:18;2018-05-18 16:18:38;1900-01-01 16:18:38;Friday;True;False;False;False;False;True;16:15:00
379;2018-05-17;#LíneaA - Ya circula con su frecuencia normal. 08:39;2018-05-17 11:39:09;1900-01-01 11:39:09;Thursday;False;False;True;False;False;True;11:30:00
380;2018-05-17;#LíneaA - Reanuda su servicio y realiza el recorrido completo entre cabeceras con demoras. 08:20;2018-05-17 11:22:23;1900-01-01 11:22:23;Thursday;True;False;False;False;False;True;11:15:00
381;2018-05-17;#LíneaA - Servicio interrumpido. 08:13;2018-05-17 11:13:04;1900-01-01 11:13:04;Thursday;False;True;False;False;False;True;11:00:00
382;2018-05-17;#LíneaA - Circula con demora. 08:11;2018-05-17 11:11:04;1900-01-01 11:11:04;Thursday;True;False;False;False;False;True;11:00:00
383;2018-05-17;#LíneaA - Ya realiza su recorrido completo entre cabeceras. 08:07;2018-05-17 11:07:03;1900-01-01 11:07:03;Thursday;False;False;False;False;False;True;11:00:00
384;2018-05-17;#LíneaA - Servicio interrumpido. 07:55;2018-05-17 10:55:02;1900-01-01 10:55:02;Thursday;False;True;False;False;False;True;10:30:00
